x,y,z
-56.747,139.873,-21.7472
-44.8116,129.797,-28.7194
-28.6244,150.032,-39.1846
-15.3241,93.448,-79.4514
-77.5704,107.766,-110.949
-23.7248,116.233,-96.7298
-57.4672,69.9629,-59.496
-51.5961,111.661,-64.4319
-56.6504,86.9478,-29.1832
-105.649,115.231,-73.8018
-9.40076,134.631,-74.9413
-67.8347,95.0981,-65.7438
-41.2475,95.829,-108.682
-11.4675,103.288,-82.3692
-48.8194,71.1084,-56.261
-61.7365,118.942,-72.7364
-77.2738,91.447,-31.4609
-42.4312,72.725,-55.6512
-62.3332,121.126,-70.3156
-60.4348,126.916,-66.8924
-24.6658,106.909,-32.6858
-49.3831,83.252,-101.132
-96.9645,107.932,-85.7665
-21.5797,137.342,-36.1956
-101.642,139.093,-60.3504
-43.8663,113.181,-30.3161
-51.5336,146.713,-108.708
-42.3321,77.3886,-63.4085
-72.8843,136.934,-43.7417
-62.753,132.312,-19.4263
-28.4899,133.798,-75.335
-56.9205,157.056,-34.4916
-51.9245,120.048,-64.4808
-99.281,132.583,-88.9056
-50.0553,120.889,-69.2909
-92.2104,144.151,-42.9772
-43.2122,138.434,-111.494
-64.9523,112.181,-18.544
-50.9766,126.879,-18.1436
-66.2095,98.3842,-111.536
-58.0514,125.723,-62.8864
-48.5084,116.888,-67.4233
-56.5281,123.766,-61.7157
-85.7728,128.586,-27.9578
-79.3912,79.6396,-47.4199
-18.3219,136.438,-94.7308
-58.8433,87.6425,-105.806
-79.1569,103.652,-69.2245
-59.511,126.018,-17.8326
-70.7842,107.247,-58.7733
-84.8915,78.3362,-66.2305
-57.6221,127.301,-67.1959
-62.3672,124.287,-64.7176
-93.7232,150.298,-55.7984
-62.931,122.767,-68.0017
-63.0434,70.1716,-60.9345
-29.4996,115.851,-53.8585
-62.4417,159.047,-37.654
-84.1879,159.549,-76.9653
-62.8494,112.565,-64.9863
-25.5242,93.7217,-43.3017
-65.9427,146.896,-26.7488
-95.6942,134.109,-64.4024
-54.3271,84.9648,-63.7314
-75.6252,143.069,-27.7726
-75.0746,96.6558,-26.8002
-42.262,99.6175,-43.7373
-101.165,116.981,-89.1581
-29.7482,99.0895,-30.071
-57.1205,115.627,-72.7173
-30.8011,160.038,-80.7871
-39.6058,113.075,-20.5581
-75.3615,74.4735,-56.0835
-30.7307,119.174,-98.706
-81.3303,148.454,-35.31
-37.2556,158.197,-82.4131
-13.9027,98.1529,-51.3381
-48.4323,117.638,-66.1596
-77.4292,83.9683,-88.9145
-10.3058,103.295,-56.0223
-38.0069,95.0135,-46.9045
-89.8079,116.584,-67.9119
-30.0059,90.7643,-92.7208
-22.2642,149.254,-88.1163
-75.0119,117.377,-113.506
-45.4102,124.922,-18.7957
-26.2396,131.678,-85.6101
-52.7963,117.11,-61.7568
-52.0098,120.776,-70.3672
-96.6558,140.677,-47.0006
-32.1049,127.695,-27.7
-53.5812,112.066,-67.1473
-63.4031,101.604,-52.092
-64.3926,145.403,-109.06
-103.834,103.988,-65.6537
-84.8357,155.706,-85.9792
-75.2589,121.849,-21.0826
-35.9071,140.021,-26.5995
-15.1691,140.033,-47.8585
-26.6086,79.9737,-58.9659
-70.8649,84.6965,-78.8008
-49.9661,117.967,-65.1669
-76.6867,114.741,-58.8053
-75.7163,109.545,-59.679
-69.8706,114.813,-45.7206
-32.5138,121.262,-27.7135
-85.7634,144.717,-98.522
-73.328,119.646,-45.1534
-68.2304,114.157,-49.6617
-27.3622,109.735,-97.7338
-64.1747,119.932,-69.2652
-56.711,112.735,-17.6711
-102.945,133.451,-56.4107
-65.4299,129.514,-36.6694
-23.3414,127.569,-88.2236
-70.5859,78.3529,-42.4
-19.7008,146.292,-87.828
-28.3972,109.133,-105.432
-89.5187,104.672,-32.9074
-72.9613,93.4659,-72.5461
-12.3366,95.8195,-63.8405
-10.1477,138.182,-69.8063
-56.5724,111.864,-66.682
-82.9061,97.0123,-78.098
-54.1043,111.544,-65.8185
