x,y,z
-83.0824,146.554,-61.4274
-21.23,84.0339,-72.19
-79.2783,148.182,-100.895
-82.8373,131.943,-64.1375
-72.4868,146.252,-106.013
-13.0223,95.8367,-58.7376
-44.7004,159.486,-39.9958
-61.6904,128.953,-70.4621
-58.5431,132.738,-50.2368
-41.677,107.761,-87.3236
-65.8618,99.0849,-74.0151
-46.9464,156.827,-65.8353
-48.3307,123.779,-59.9463
-26.986,142.529,-77.279
-49.2444,120.511,-65.6997
-21.3551,113.394,-31.9733
-39.183,116.709,-75.9963
-26.506,102.507,-103.671
-49.2051,122.77,-73.1154
-20.8646,97.7624,-88.3768
-21.3012,108.666,-96.5325
-80.5971,120.817,-64.4959
-39.2576,115.927,-70.3058
-19.4966,90.9499,-58.8667
-47.075,129.4,-82.6986
-60.8415,158.656,-58.8964
-40.8535,100.449,-83.6222
-45.7837,121.792,-98.8112
-61.958,78.4966,-76.729
-51.193,126.751,-67.3699
-57.2571,129.826,-60.4005
-51.4375,133.564,-59.4964
-62.9986,156.878,-79.7176
-49.7852,121.351,-48.1998
-52.3801,119.242,-58.1062
-48.4106,126.056,-68.8146
-59.5684,127.464,-41.1374
-21.0739,153.269,-57.1104
-65.3414,120.377,-83.1826
-65.8085,139.09,-91.6308
-61.9377,117.557,-94.1817
-66.2221,115.839,-59.7894
-65.4285,131.561,-91.3435
-29.0196,114.0,-84.7334
-46.5513,114.43,-111.602
-35.3874,129.695,-102.353
-54.533,120.199,-61.7106
-54.6133,121.908,-49.0979
-27.0679,108.176,-86.6446
-44.0205,82.2695,-78.9046
-56.4383,168.97,-72.2506
-65.543,120.995,-60.1768
-66.6369,134.0,-47.0838
-68.1829,135.943,-67.3657
-62.3738,114.792,-51.446
-34.7914,122.422,-36.4609
-51.771,117.892,-86.6803
-75.7499,133.411,-83.0404
-35.7356,153.993,-65.9285
-54.6298,122.064,-77.0874
-53.7938,117.706,-52.1044
-22.7618,143.086,-38.9039
-41.0883,120.324,-80.0264
-42.2671,111.808,-81.5705
-56.9696,108.318,-74.0562
-51.3296,125.561,-71.4988
-26.2774,132.04,-96.5482
-48.7478,110.672,-70.6161
-51.2562,110.851,-73.3521
-29.5693,148.223,-54.8107
-37.7137,140.872,-80.4446
-40.4701,132.861,-61.9092
-40.6137,111.983,-67.8801
-53.7657,122.571,-70.3081
-16.84,104.345,-66.0108
-62.0803,123.535,-79.0385
-73.8751,165.965,-64.6234
-62.4018,114.751,-69.7834
-50.1598,122.89,-102.856
-98.2072,137.816,-68.8467
-33.3463,123.463,-62.1684
-27.9193,156.886,-50.5703
-35.5419,78.1087,-75.57
-48.4657,118.183,-115.77
-62.0442,96.996,-94.6677
-64.6349,109.074,-79.4864
-33.1318,117.39,-57.6195
-73.1024,112.239,-83.5424
-43.3831,106.411,-35.7004
-65.375,146.252,-71.8116
-51.1642,101.112,-103.415
-49.9827,119.774,-76.0755
-78.254,137.071,-108.438
-23.3192,131.798,-52.5234
-43.4337,159.265,-94.2871
-78.1364,126.554,-94.9897
-50.5233,119.061,-69.6781
-38.7835,127.429,-69.499
-58.9419,119.319,-76.1754
-56.9911,100.103,-81.6955
-56.0558,123.699,-57.901
-58.3944,111.125,-65.4719
-42.576,156.461,-78.8548
-32.6553,88.2196,-61.8467
-59.5081,135.163,-52.9906
-29.6634,122.436,-68.8775
-32.1078,113.292,-70.9287
-55.5797,125.83,-74.2753
-75.8201,109.412,-96.2648
-10.1772,123.073,-73.352
-95.6936,135.523,-93.2741
-47.5211,126.799,-82.4224
-92.5781,147.297,-87.1118
-63.1485,105.789,-63.4232
-33.984,125.03,-81.5508
-85.6523,113.75,-69.372
-51.3594,114.029,-68.2934
-80.3684,100.374,-72.3264
-48.2897,128.814,-65.5329
-55.9979,139.689,-64.2204
-56.5223,137.013,-94.8153
-51.5861,117.106,-62.7565
-35.0334,129.544,-39.2259
-79.2093,116.672,-82.2368
-90.1718,126.238,-85.0689
-69.0665,142.918,-52.4757
-37.2463,116.547,-92.4206
-56.1095,139.553,-50.7162
-44.6862,116.609,-68.3533
-54.4612,144.213,-83.4192
-101.425,121.767,-78.9262
-37.7717,146.86,-29.8847
-85.2029,128.052,-107.008
-24.235,132.546,-74.5998
-67.2899,112.607,-63.9827
-62.7493,116.903,-71.7458
-37.1985,117.742,-63.7851
-67.2319,105.645,-84.4689
-58.0646,146.25,-68.4371
-51.6758,139.106,-69.7526
-40.0814,140.843,-55.3141
-52.1699,143.404,-72.1597
-63.9062,117.081,-65.6356
-36.8076,133.001,-89.4106
-64.0699,129.037,-65.6261
-54.3091,126.907,-64.783
-54.8717,125.363,-64.7255
-70.9472,95.6534,-80.965
-50.8079,112.195,-60.1596
-91.0765,121.46,-67.4876
-43.1597,122.348,-80.01
-61.7707,123.341,-69.7373
-50.1045,151.888,-104.575
-65.8005,117.453,-42.399
-14.4622,146.255,-63.1144
-17.2971,124.62,-36.493
-42.4859,125.601,-57.1162
-77.6626,109.494,-78.4214
-59.5247,162.146,-92.701
-30.1179,136.343,-61.2134
-26.6859,122.73,-44.6343
-66.2045,124.97,-83.2521
-20.0795,129.64,-100.083
-50.462,129.281,-89.1238
-79.7931,151.157,-79.4485
-87.4305,110.597,-71.2036
-68.9943,103.667,-59.7183
-52.2336,79.1665,-82.1536
-66.0679,101.682,-54.8366
-42.9651,132.643,-77.4949
-86.6402,146.414,-48.9595
-11.5181,126.248,-46.2089
-75.4937,125.476,-70.3916
-72.175,88.3698,-74.7062
-50.112,110.155,-82.0201
-43.8587,153.451,-70.4759
-67.2201,119.521,-69.0969
-82.546,150.65,-70.0049
-14.3299,137.464,-87.3224
-75.7397,144.538,-91.7025
-39.9981,157.693,-94.7392
-77.4934,111.869,-56.8536
-22.1036,101.909,-99.254
-36.78,93.8785,-90.371
-57.9483,133.573,-63.8445
-73.6102,115.626,-91.1342
-51.0891,103.172,-80.3791
-82.335,96.3457,-79.7475
-64.7965,122.449,-73.9176
-87.0903,118.909,-71.6614
-64.4542,123.699,-64.7797
-49.2941,97.3074,-95.2099
-53.3633,122.461,-70.8051
-43.4086,108.993,-44.0607
-59.3078,114.976,-72.7236
-79.2355,98.4672,-80.0468
-63.8681,87.1113,-68.9427
-59.7245,113.279,-66.7709
-87.8088,143.602,-78.3552
-53.5741,151.906,-62.2245
-56.1759,117.677,-55.6795
-56.859,129.526,-74.9269
-71.949,107.395,-75.5548
-39.977,125.039,-94.927
-23.0808,87.4642,-86.7368
-56.323,146.41,-100.541
-57.0443,127.87,-70.2653
-55.5649,115.168,-56.5483
-45.3233,126.732,-71.3973
-44.8378,97.1296,-83.154
-49.4675,95.9441,-49.3758
-55.2187,109.854,-60.9705
-56.5799,72.3019,-78.8305
-74.6232,88.1039,-83.7886
-62.6679,120.948,-63.1411
-63.9864,129.983,-99.3734
-23.0134,133.651,-47.8647
-27.8649,131.624,-91.433
-62.9096,108.213,-55.5033
-56.2391,118.775,-61.7406
-34.513,148.587,-74.3159
-52.5473,117.501,-72.7016
-50.5833,131.569,-78.0115
-66.9442,113.987,-71.9783
-52.0114,115.309,-69.9129
-55.5179,151.51,-91.8139
-87.7919,141.184,-80.9338
-88.2127,120.141,-97.0716
-58.8761,128.446,-73.2711
-81.6852,87.6345,-96.3694
-38.4147,135.43,-46.658
-42.3903,101.477,-62.9561
-58.0085,84.877,-65.7243
-63.2582,101.819,-79.8402
-34.0862,123.829,-89.6272
-25.8242,131.299,-100.301
-89.3366,156.742,-68.4622
-35.5812,92.6799,-69.3032
-35.1674,115.044,-62.7884
-41.548,109.562,-61.5855
-54.6019,116.78,-72.7353
-52.2463,137.012,-73.7592
-71.5472,106.021,-88.3003
-76.4765,105.23,-65.7115
-87.7503,126.032,-92.8704
-48.2752,109.317,-65.2328
-29.3901,87.6912,-88.3406
-52.9952,139.736,-105.621
-56.0088,148.744,-75.9864
-51.6583,119.438,-70.6934
-54.7986,124.465,-61.754
-49.0017,124.117,-69.9362
-57.9518,93.9127,-88.0546
-89.3785,108.823,-74.9091
-68.6588,130.012,-67.5166
-56.3153,100.777,-49.7041
-21.6129,134.431,-81.0321
-37.2482,112.747,-111.287
-47.4733,120.9,-89.0208
-77.5702,143.573,-73.0282
-58.9003,129.765,-110.652
-37.1136,73.2649,-70.2925
-78.4459,111.128,-71.8123
-60.2501,125.55,-69.4433
-62.2141,124.169,-69.409
-58.0718,116.381,-53.4652
-40.6,140.537,-36.1752
-51.7304,126.637,-64.7728
-82.5682,119.214,-90.8278
-70.8233,127.963,-86.7608
-60.201,104.025,-71.4964
-71.3055,91.8326,-94.2431
-60.8739,140.786,-60.6823
-43.8952,131.506,-53.7844
-42.6809,117.1,-70.5111
-31.8747,105.308,-44.1965
-61.538,119.175,-53.3108
-69.7449,97.0598,-65.717
-71.9946,122.251,-74.218
-73.2681,104.556,-64.3677
-58.5652,115.295,-77.227
-56.6193,142.934,-30.6898
-73.5746,131.19,-66.509
-39.2301,79.681,-57.7828
-63.4062,147.427,-76.3596
-43.0487,146.199,-63.1504
-57.6491,120.6,-61.7421
-53.9625,102.479,-74.3695
-45.5485,88.6229,-65.7886
-65.0749,125.97,-76.006
-58.6329,91.8099,-92.3104
-67.0112,116.719,-88.8536
-86.439,112.835,-82.1241
-89.5574,151.883,-85.3409
-68.8835,109.776,-68.3082
-90.6838,135.02,-68.6132
-50.6121,120.83,-62.7847
-83.5425,134.099,-81.6625
-38.5072,135.814,-52.8487
-57.7959,121.899,-72.7172
-47.9561,119.597,-74.7562
-69.2795,118.787,-58.8454
-53.8876,130.641,-69.8364
-56.9437,123.965,-69.7371
-52.5351,110.21,-68.1066
-62.0406,117.566,-67.1816
-63.6556,122.189,-66.1433
-54.2881,93.4157,-64.6494
-26.9373,151.664,-91.3896
-74.6021,147.384,-64.6428
-55.0472,80.3103,-74.8764
-52.2515,119.272,-61.7762
-51.2304,117.652,-70.1176
-38.7243,133.977,-68.4397
-71.6343,103.835,-102.53
-48.9507,119.475,-60.3224
-57.8886,117.566,-72.7348
-43.8585,123.814,-36.3685
-35.877,104.452,-101.311
-51.0738,116.673,-65.022
-51.7433,120.924,-75.2749
-28.9118,112.862,-81.3863
-60.4374,130.277,-82.5695
-62.4039,144.528,-50.0054
-48.0683,121.084,-70.6816
-53.9555,110.66,-115.804
-38.0852,127.107,-61.6504
-36.6652,153.63,-85.592
-25.5889,86.9224,-89.7507
-70.633,126.1,-81.0897
-56.8263,127.969,-75.6538
-52.2048,124.309,-61.8178
-80.7504,95.7535,-103.885
-77.3983,151.912,-40.7804
-15.5247,90.5677,-64.4543
-57.677,109.628,-74.8845
-58.342,123.04,-49.2418
-50.9102,129.162,-75.9617
-59.1702,150.939,-76.0258
-50.056,153.003,-72.7152
-38.2414,110.041,-32.663
-89.4185,153.562,-52.3129
-57.6835,126.335,-42.5605
-44.9219,153.881,-33.0574
-71.2798,116.91,-52.2303
-61.6587,113.098,-90.5892
-84.9844,156.844,-51.1623
-96.6104,112.387,-89.7999
-71.1476,88.1481,-103.37
-52.8815,112.126,-36.667
-41.8104,150.08,-103.77
-42.5074,116.821,-55.3887
-79.1896,157.934,-65.4208
-38.7848,112.682,-47.0396
-70.7711,81.4249,-80.7414
-54.7455,103.346,-70.2087
-49.649,112.655,-43.0795
-50.8243,123.064,-58.7619
-85.3351,101.69,-103.851
-38.1022,106.568,-80.5003
-63.359,116.981,-63.7406
-46.622,108.732,-73.7071
-56.1563,126.295,-69.2128
-50.6691,114.912,-46.6302
-56.6346,120.867,-75.5943
